Data;21084 - Inadimplência da carteira de crédito - Pessoas físicas - Total - %
03/2011;4,62
04/2011;4,67
05/2011;4,82
06/2011;4,79
07/2011;4,90
08/2011;4,97
09/2011;5,03
10/2011;5,17
11/2011;5,22
12/2011;5,22
01/2012;5,36
02/2012;5,40
03/2012;5,36
04/2012;5,41
05/2012;5,51
06/2012;5,43
07/2012;5,42
08/2012;5,40
09/2012;5,41
10/2012;5,34
11/2012;5,21
12/2012;5,10
01/2013;5,03
02/2013;4,98
03/2013;4,94
04/2013;4,85
05/2013;4,88
06/2013;4,61
07/2013;4,56
08/2013;4,45
09/2013;4,44
10/2013;4,25
11/2013;4,15
12/2013;4,06
01/2014;4,03
02/2014;4,00
03/2014;4,05
04/2014;4,10
05/2014;4,16
06/2014;3,98
07/2014;4,05
08/2014;4,04
09/2014;3,94
10/2014;3,98
11/2014;3,84
12/2014;3,67
01/2015;3,75
02/2015;3,81
03/2015;3,67
04/2015;3,75
05/2015;3,86
06/2015;3,66
07/2015;3,78
08/2015;3,89
09/2015;3,95
10/2015;4,08
11/2015;4,20
12/2015;4,23
01/2016;4,30
02/2016;4,30
03/2016;4,25
04/2016;4,30
05/2016;4,32
06/2016;4,05
07/2016;4,10
08/2016;4,12
09/2016;4,18
10/2016;4,18
11/2016;4,09
12/2016;3,95
01/2017;3,98
02/2017;4,00
03/2017;4,01
04/2017;4,04
05/2017;4,10
06/2017;3,85
07/2017;3,95
08/2017;3,93
09/2017;3,87
10/2017;3,87
11/2017;3,77
12/2017;3,53
01/2018;3,72
02/2018;3,70
03/2018;3,64
04/2018;3,62
05/2018;3,59
06/2018;3,47
07/2018;3,50
08/2018;3,49
09/2018;3,41
10/2018;3,37
11/2018;3,30
12/2018;3,25
01/2019;3,34
02/2019;3,30
03/2019;3,36
04/2019;3,36
05/2019;3,41
06/2019;3,35
07/2019;3,44
08/2019;3,48
09/2019;3,54
10/2019;3,53
11/2019;3,54
12/2019;3,51
01/2020;3,57
02/2020;3,66
03/2020;3,94
04/2020;4,07
05/2020;3,98
06/2020;3,62
07/2020;3,46
08/2020;3,30
09/2020;3,14
10/2020;3,06
11/2020;2,97
12/2020;2,84
01/2021;2,88
02/2021;2,92
03/2021;2,87
04/2021;2,91
05/2021;2,97
06/2021;2,87
07/2021;2,90
08/2021;2,92
09/2021;2,97
10/2021;2,95
11/2021;2,97
12/2021;3,00
01/2022;3,21
02/2022;3,33
03/2022;3,39
04/2022;3,48
05/2022;3,59
06/2022;3,52
07/2022;3,65
08/2022;3,72
09/2022;3,74
10/2022;3,83
11/2022;3,85
12/2022;3,88
01/2023;4,04
02/2023;4,08
03/2023;4,03
04/2023;4,18
05/2023;4,25
06/2023;4,18
07/2023;4,14
08/2023;4,04
09/2023;3,92
10/2023;3,89
11/2023;3,79
12/2023;3,66
01/2024;3,67
02/2024;3,67
03/2024;3,62
04/2024;3,66
05/2024;3,69
06/2024;3,64
07/2024;3,69
08/2024;3,73
09/2024;3,73
10/2024;3,68
11/2024;3,65
12/2024;3,54
01/2025;3,79
02/2025;3,85
03/2025;3,86
04/2025;4,07
05/2025;4,20
Fonte;BCB-DSTAT
